Leading.proteins.Positions.within.proteins;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d5_01;log2 N2_d5_02;log2  N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d15_N2_d5; Student's T-test q-value N2_d15_N2_d5; Student's T-test Difference N2_d15_N2_d5;Student's T-test Test statistic N2_d15_N2_d5;Sign p-val: 0.05 
P91277(19);20,1645;19,6608;19,6602;18,1416;21,2152;21,6293;21,0109;21,6236;2,2581;0,00334717;-1,96298;-4,22682;+
P91280(26);27,7008;26,3937;25,9957;26,0652;24,9794;24,4218;22,1484;25,0302;1,64288;0,010868;2,39385;3,04155;+
P91297(280);19,7685;20,1933;18,004;18,9659;21,3801;21,7035;21,0857;21,9025;2,35871;0,00245445;-2,28498;-4,43952;+
P91303(66);20,5427;20,0011;20,49;20,3241;22,8811;23,1806;22,6875;23,4204;4,95939;0;-2,70291;-13,3397;+
P91303(16);20,8824;21,0297;19,5814;21,7445;24,4521;24,3761;23,5533;24,045;3,25755;0,000525253;-3,29714;-6,66327;+
P91303(56);17,323;21,5354;17,5861;19,452;21,57;21,6187;20,6461;21,415;1,23352;0,0281498;-2,33832;-2,33289;+
P91303(37);20,0395;20,1094;19,1691;17,9794;23,143;22,5118;21,6983;23,8241;2,67948;0,00115263;-3,46995;-5,16144;+
P91303(46);20,1506;20,577;21,144;19,2879;24,921;23,8814;24,7916;24,1301;3,9503;0,000413223;-4,14115;-8,8998;+
P91306(245);22,4526;22,2954;22,0114;23,8064;21,031;20,7636;20,9863;19,757;2,16207;0,00391858;2,00699;4,02933;+
P91306(28);24,2416;22,5475;24,0319;24,3564;23,8161;23,1437;22,5224;23,4546;0,51211;0,180029;0,560144;1,11494;
P91306(37);18,7316;20,8922;20,361;18,6344;21,5787;20,6685;21,1907;21,3361;1,36184;0,0210225;-1,53871;-2,55041;+
P91354(156);23,2506;23,0107;23,031;23,895;21,9659;21,0164;20,9727;21,7687;2,89194;0,000979472;1,8659;5,68072;+
P91359(989);24,1465;23,7244;22,8347;24,9567;20,6053;20,5262;20,8391;21,4019;3,14503;0,000588022;3,07251;6,34799;+
P91374(56);24,6934;24,7294;24,2074;24,493;25,1812;24,088;23,9291;24,9272;0,000584214;0,998058;-0,000580311;-0,00175618;
P91374(140);21,867;21,1156;19,9926;20,2196;25,0283;24,6815;24,0039;24,6428;3,65632;0,000294985;-3,79039;-7,8839;+
P91374(5);22,283;23,6434;25,1424;22,1904;23,13;22,0556;21,9319;23,0642;0,452491;0,215421;0,769361;1,00705;
P91374(85);19,9865;20,6523;19,6805;19,8508;25,119;23,5071;24,5674;22,6686;3,26657;0,000531697;-3,92299;-6,68904;+
P91374(93);25,3452;25,4118;23,5796;25,5054;26,9919;26,1138;26,1643;26,0622;1,4393;0,0176214;-1,37258;-2,6835;+
P91374(153);21,0654;20,1868;20,3634;19,6026;26,4752;25,6975;25,0542;26,9362;4,51023;0;-5,73624;-11,1595;+
P91374(157);21,3868;21,8687;19,9087;18,2612;22,9514;22,1904;23,9804;23,8077;1,70382;0,00972275;-2,87611;-3,15147;+
P91374(96);20,6612;20,6116;20,9473;19,4912;21,7229;21,2765;19,926;20,8875;0,477266;0,199918;-0,525393;-1,05221;
P91398(243);18,4495;20,6783;19,7928;19,1019;21,6855;20,4159;20,985;21,6134;1,60055;0,0122332;-1,66933;-2,966;+
P91423(57);20,0621;19,3205;18,8235;19,4783;19,7245;20,8034;20,4248;20,7208;1,51668;0,0148225;-0,997237;-2,81806;+
P91482(107);21,1879;19,9461;19,5078;20,566;22,9438;23,3247;22,73;23,0275;3,37138;0,000457399;-2,70452;-6,99469;+
P91482(323);17,9789;19,7701;19,548;20,869;20,2572;21,062;21,011;21,6469;1,1546;0,0336581;-1,45282;-2,20056;+
P91491(5);32,1038;31,8702;30,5679;24,2893;30,765;31,2988;29,9207;30,944;0,220522;0,452217;-1,02432;-0,550529;
P91502(400);21,9005;18,9249;18,6808;20,3512;20,1767;21,316;21,0927;21,7283;0,658945;0,117617;-1,11408;-1,37146;
P91502(414);27,2588;28,5804;25,6343;24,1847;28,5341;27,8245;27,9966;28,4139;0,931882;0,0560929;-1,77772;-1,83004;
P91502(549);20,3825;19,7038;19,9677;21,1307;24,0706;25,1163;24,3354;24,1903;4,37781;0;-4,13196;-10,5827;+
P91502(550);20,8366;20,028;19,2542;19,1937;21,6817;20,2234;21,3751;21,8866;1,46754;0,0162665;-1,46361;-2,73241;+
P91502(428);20,4095;19,5598;19,0787;20,1002;21,0006;21,4479;20,4625;21,6022;1,85955;0,00712877;-1,34127;-3,43898;+
P91502(571);25,7358;25,4598;24,687;26,6953;24,2888;24,058;22,5974;23,1968;1,99644;0,00572342;2,10927;3,70052;+
P91502(518);20,2553;21,275;20,4524;20,6135;20,7789;21,1682;21,2448;21,5058;1,01296;0,0476032;-0,52538;-1,9647;+
P91502(445);24,6952;24,2762;22,7138;21,4293;24,4747;24,3643;23,4713;23,8824;0,438399;0,224716;-0,769568;-0,98113;
P91502(447);19,726;18,1242;19,393;21,2923;21,4649;21,4812;20,3678;21,3534;1,13975;0,0348036;-1,53296;-2,17574;+
P91821(61);20,1025;18,651;16,7131;21,3018;21,517;21,6682;20,5107;21,2709;1,03861;0,0447262;-2,0496;-2,00732;+
P91856(332);21,2205;18,6972;19,0601;21,2443;23,8405;23,7944;25,8485;24,7032;2,76701;0,00103277;-4,49116;-5,37112;+
P91857(115);19,4404;20,675;17,8663;19,4702;20,6255;20,1508;21,0018;21,4867;1,1928;0,030633;-1,45324;-2,26449;+
P91913(49);20,0782;21,3056;20,5844;19,1422;19,6202;21,0997;21,2804;21,8599;0,472543;0,202856;-0,687441;-1,04364;
P91913(33);20,2992;21,6411;18,7891;20,2278;20,9309;21,1432;19,6437;21,4806;0,338603;0,307494;-0,560295;-0,791924;
P91913(92);23,5644;23,3328;24,2114;23,7948;26,3572;25,671;25,2295;26,7974;2,92772;0,000942598;-2,28794;-5,77173;+
P91913(93);22,3965;23,3328;23,2856;23,4324;26,3572;25,671;25,2295;26,7974;3,31984;0,000552017;-2,90198;-6,84304;+
P91914(115);21,0689;21,0447;18,7194;21,3274;24,5224;21,6089;21,9659;22,1456;1,17922;0,0312559;-2,0206;-2,24175;+
P91914(27);19,9836;20,1776;17,9112;21,3866;21,9065;20,9108;20,3411;21,6133;0,826347;0,0724623;-1,32817;-1,65425;
P91914(93);18,3547;20,0292;19,4676;20,7334;23,4677;22,8879;22,2994;22,8554;2,94274;0,000868502;-3,23139;-5,81022;+
P91917(281);19,7454;20,8388;18,2265;20,827;21,7169;21,73;20,2281;20,9196;0,874423;0,0642963;-1,23923;-1,73446;
P91918(97);19,5454;17,5398;18,0582;21,2439;24,2713;25,2527;22,9431;23,6489;2,6562;0,00126265;-4,93217;-5,10662;+
P91918(8);21,694;18,3445;19,933;19,4605;23,5634;24,0692;22,772;23,9172;2,58158;0,00135179;-3,72245;-4,93361;+
Q02335(259);19,2756;20,1113;19,5102;21,0023;20,4603;19,0122;21,1699;21,4531;0,354232;0,292784;-0,549009;-0,822297;
Q02335(184);22,829;22,5364;20,9024;21,1069;24,625;23,9152;23,3529;24,6223;2,12255;0,00436552;-2,28514;-3,94957;+
Q03206(166);19,4973;17,9485;19,8693;19,2399;21,6147;21,5621;20,4981;21,0881;2,23378;0,00351941;-2,05203;-4,17632;+
Q03562(244);21,1331;20,2702;18,929;21,8058;21,6235;21,1243;21,4531;21,1534;0,601202;0,139391;-0,804094;-1,27186;
Q03564(315);21,9467;18,957;20,5149;21,1926;20,6341;20,8834;20,8865;19,7532;0,0580551;0,813896;0,113512;0,164323;
Q03567(241);24,3462;22,7439;21,996;24,6428;20,5668;21,6133;21,0254;21,5694;1,77622;0,00817549;2,2385;3,28389;+
Q03567(7);28,5565;27,1956;27,4209;28,1592;26,8958;26,3438;25,9812;27,4918;1,34621;0,0218959;1,1549;2,52373;+
Q03601(834);20,365;18,3892;19,0156;18,0647;21,7609;21,057;20,5402;20,2329;1,7229;0,00928087;-1,9391;-3,18617;+
Q04833(4605);21,6812;19,4431;20,6861;19,7177;21,8768;21,1432;21,1596;21,4247;0,973469;0,0510321;-1,01905;-1,89912;
Q05036(533);19,442;18,5543;19,9584;20,459;21,219;20,215;20,9791;21,4629;1,5048;0,0151252;-1,36556;-2,79729;+
Q05036(479);21,0486;21,4707;19,9875;19,6988;21,7127;20,484;20,9492;21,4838;0,561387;0,156317;-0,606023;-1,20228;
Q05062(133);23,2186;25,8048;24,6192;24,1202;23,4053;26,762;25,7891;25,8203;0,514611;0,179042;-1,00348;-1,11941;
Q05062(144);20,4579;18,1394;20,4607;21,4794;21,0937;20,9081;19,6078;20,5181;0,201555;0,483041;-0,397572;-0,509335;
Q05062(184);21,6471;19,0237;20,5843;19,3854;20,7181;21,7721;20,8766;21,6212;0,8326;0,0717506;-1,08686;-1,6647;
Q05062(185);19,762;19,4384;21,586;19,5808;20,6151;19,0118;19,9756;21,0055;0,0311545;0,896707;-0,060215;-0,0905771;
Q067X2(125);19,5729;18,1841;19,2905;21,359;21,0679;21,6262;19,8885;20,5914;0,782378;0,0827274;-1,19189;-1,5806;
Q07750(118);19,6275;21,7706;19,5052;20,7653;21,9171;21,0024;20,9463;19,3991;0,21331;0,463132;-0,39913;-0,534958;
Q07750(31);19,4467;19,2592;19,6899;21,0717;23,8364;25,1532;23,319;22,8261;3,03232;0,000703947;-3,91684;-6,04393;+
Q09217(112);19,139;20,2102;21,1584;20,0389;21,2377;21,2195;20,9475;21,1903;1,28166;0,0255731;-1,01213;-2,41411;+
Q09236(39);19,606;19,7712;18,0633;20,6413;21,4927;20,1232;21,0048;21,5717;1,2856;0,0254658;-1,52766;-2,42078;+
Q09236(45);19,4872;20,7434;18,4042;20,7717;21,7655;20,4269;21,4393;20,5944;0,939673;0,0548638;-1,20485;-1,84298;
Q09236(14);18,6239;21,5802;19,7521;21,0133;21,3603;20,5569;20,5221;21,5378;0,479176;0,198589;-0,7519;-1,05567;
Q09237(795);21,4806;18,9117;19,3592;19,3978;21,8171;20,7312;20,7334;21,3989;1,14304;0,0347121;-1,38284;-2,18124;+
Q09237(832);20,3995;19,818;20,1727;18,2589;21,7873;20,1829;20,7815;21,4715;1,22373;0,028787;-1,39353;-2,31642;+
Q09248(67);18,4489;19,3965;20,1832;20,5994;20,7881;21,4053;20,8519;21,8162;1,57798;0,0127985;-1,55836;-2,92597;+
Q09250(74);18,3263;21,7281;19,6804;20,6362;19,4022;20,8983;20,8429;21,68;0,296966;0,350115;-0,613137;-0,709392;
Q09269(83);23,2435;24,4114;24,792;24,5468;23,9435;23,0606;24,6165;24,1853;0,255583;0,401524;0,296966;0,62471;
Q09289(347);26,0821;24,8962;24,0096;27,0612;27,3436;26,5215;26,6384;28,0036;1,12283;0,0361052;-1,61447;-2,14751;+
Q09289(362);23,3493;23,86;23,8649;24,1672;25,8201;26,366;25,4153;25,4902;3,41927;0,000344988;-1,96256;-7,13805;+
Q09289(338);26,6628;25,9846;24,6079;26,8781;27,2236;27,0334;26,4603;27,3577;0,911366;0,0586802;-0,985437;-1,79594;
Q09289(242);18,9295;21,1933;19,0141;20,4199;21,8253;19,9633;21,4144;21,6235;0,969529;0,0515192;-1,31744;-1,89258;
Q09289(130);24,2432;24,1364;25,0218;24,6434;25,0947;26,2323;25,1486;25,9832;1,68979;0,00987826;-1,1035;-3,12603;+
Q09289(122);20,5014;20,672;21,0986;17,4112;25,1915;24,0685;25,0744;26,1693;2,8142;0,00108242;-5,20516;-5,48661;+
Q09289(105);23,4856;23,2087;24,4015;22,8287;24,4698;24,5817;23,7429;24,5389;1,14789;0,0343104;-0,852205;-2,18935;+
Q09289(241);19,7545;21,5147;20,292;18,6971;19,7063;21,1614;20,9809;21,6906;0,524507;0,174202;-0,820243;-1,13706;
Q09350(297);20,2681;17,4138;21,011;21,739;21,79;21,7042;20,2374;21,6356;0,567971;0,153221;-1,23382;-1,21385;
Q09407(34);22,0466;21,0142;18,961;20,9783;22,8648;21,7319;23,4378;22,3061;1,31568;0,0232489;-1,83514;-2,47177;+
Q09422(156);24,708;24,6976;25,2424;21,5455;23,2289;23,8667;24,2731;24,6017;0,0212355;0,931085;0,0557885;0,0623888;
Q09422(127);20,1447;19,2746;20,0261;20,6522;22,6661;23,3512;23,5767;23,32;4,05175;0,000231884;-3,20414;-9,2759;+
Q09422(76);18,3925;19,8827;20,3676;20,2555;24,9441;25,053;24,3512;23,43;3,69866;0,0003125;-4,72003;-8,02378;+
Q09436(302);19,1002;19,918;19,8427;19,872;21,5966;22,062;22,4209;21,7027;3,80123;0,000361011;-2,26232;-8,3714;+
Q09444(259);20,8804;21,6655;20,0105;17,8677;21,7808;21,2577;20,8945;21,4368;0,718295;0,0992818;-1,23639;-1,47255;
Q09444(303);19,7137;20,6731;17,4009;19,6511;26,5123;26,2729;25,8947;25,4987;4,0262;0,000225352;-6,68493;-9,17989;+
Q09444(305);21,3161;20,8469;19,9923;20,7713;20,422;20,5756;20,5462;20,526;0,330004;0,314979;0,214192;0,775078;
Q09444(307);20,7579;19,9537;21,5225;18,0002;24,5587;26,2242;24,8071;25,4893;3,0798;0,000559585;-5,21126;-6,17064;+
Q09489(98);19,3151;20,9534;18,2707;20,1468;21,8486;21,396;20,9305;21,2583;1,49942;0,0152938;-1,68688;-2,7879;+
Q09489(8);20,4352;20,4902;20,8033;20,8765;20,2207;21,4093;21,3975;21,155;0,620589;0,131812;-0,394358;-1,30546;
Q09490(38);19,9092;19,5205;21,3468;19,1125;21,778;20,9631;20,2899;21,3661;0,999242;0,0488314;-1,12703;-1,94192;+
Q09490(40);19,1122;18,4139;18,721;20,8399;23,8512;24,5921;23,8083;23,2528;3,5614;0,000268097;-4,60436;-7,57781;+
Q09533(208);20,1012;18,9414;18,4568;18,4853;21,0084;22,2594;23,0647;22,7569;2,82528;0,00109597;-3,27618;-5,51399;+
Q09533(121);20,2558;21,1203;20,9943;19,4291;21,8724;22,3936;21,2062;22,8632;1,67283;0,0100636;-1,63399;-3,09539;+
Q09533(30);20,5575;21,6223;18,5383;20,2126;21,4504;21,7381;20,5311;21,3715;0,738718;0,0936826;-1,04013;-1,50709;
Q09533(39);19,0598;20,8927;20,8796;21,6057;24,4709;24,7254;23,6096;23,0352;2,61387;0,00129577;-3,35079;-5,00799;+
Q09560(840);21,3292;18,4688;21,4632;18,3341;21,6781;21,7403;20,6152;21,3579;0,796674;0,0792146;-1,44905;-1,60458;
Q09568(563);25,4964;24,9161;23,8969;23,4082;25,0025;24,7122;25,4282;25,5567;0,707223;0,103019;-0,74549;-1,45377;
Q09581(5);21,4838;19,725;19,6504;19,6735;21,8224;21,1346;20,6016;21,7169;1,17159;0,031939;-1,18569;-2,22897;+
Q09581(232);20,5439;19,8449;21,0377;18,9887;20,8066;19,841;20,3305;19,0786;0,0546097;0,82359;0,0896435;0,155083;
Q09581(200);19,7022;21,7267;20,3433;20,4697;19,9673;20,5383;21,2747;21,1439;0,122757;0,643288;-0,170595;-0,328387;
Q09581(74);25,8132;25,6169;24,3843;25,4069;24,1867;23,6514;23,5594;23,4557;2,36651;0,0024668;1,59205;4,45625;+
Q09581(185);20,457;20,4955;20,7762;19,4014;20,8858;19,9747;21,4961;21,1585;0,64117;0,124408;-0,596267;-1,34095;
Q09614(846);25,9523;24,724;23,6258;25,3625;26,1895;25,6678;25,2964;25,804;0,764496;0,0875295;-0,823275;-1,55054;
Q09665(57);21,1571;19,7458;19,0513;19,2214;21,246;21,7005;19,8638;21,6449;1,06781;0,0414028;-1,31988;-2,05587;+
Q09934(851);19,4314;16,5488;20,7658;20,6088;21,9493;20,3438;21,1078;21,1829;0,88641;0,062249;-1,80725;-1,75442;
Q09934(443);19,802;21,4708;19,1231;20,2765;23,9143;24,0775;24,5608;24,3775;3,65643;0,000295858;-4,0644;-7,88427;+
Q09934(356);21,666;21,0287;22,9095;22,66;21,2838;22,2187;22,6419;22,3959;0,0455571;0,851012;-0,0690374;-0,130528;
Q09936(37);20,1985;20,2855;19,5501;19,069;20,6213;21,1532;19,6193;21,288;0,963458;0,0523283;-0,894693;-1,88249;
Q09936(217);20,1692;20,4218;19,9491;18,1928;21,813;21,5677;20,7655;21,6036;1,70553;0,00972929;-1,75423;-3,15458;+
Q09936(121);18,6224;18,5542;20,5798;21,467;20,2802;21,2439;20,1239;21,1562;0,528858;0,171402;-0,895193;-1,14479;
Q09936(263);20,1131;21,2208;20,0718;21,0187;24,1134;23,3346;24,8635;24,6527;3,69443;0,000308642;-3,63497;-8,00968;+
Q09936(23);20,8108;20,8721;20,8598;19,7125;20,3589;20,1163;20,4932;21,2999;0,00286885;0,991126;-0,00329161;-0,00860142;
Q09967(32);24,6558;23,494;22,9039;20,5928;24,3759;24,7269;26,4459;26,0786;1,34092;0,0221274;-2,49519;-2,51471;+
Q09967(23);26,6956;26,655;25,338;21,5907;30,1119;29,4823;28,6608;30,3245;1,96269;0,00608314;-4,57505;-3,63521;+
Q09EE6(179);27,511;27,502;26,2555;27,5602;26,2678;27,0152;27,1577;26,7887;0,48861;0,193053;0,399813;1,07273;
Q09EE6(19);18,0445;19,5551;18,1975;19,5136;21,7718;21,2255;20,6632;21,4538;2,69573;0,00111801;-2,45088;-5,19993;+
Q09EE6(20);23,4994;23,6566;23,5587;21,6121;23,9147;24,0271;23,3001;24,9486;0,804242;0,0775475;-0,965926;-1,61726;
Q0G831(125);18,5944;21,4031;19,7787;20,7469;20,9708;21,4652;19,4843;20,9462;0,335182;0,310134;-0,585833;-0,785234;
Q0KHC0(68);20,3158;21,1993;19,9871;18,9906;23,2383;23,0789;23,0709;23,2482;3,2418;0,000511811;-3,03584;-6,61841;+
Q10010(101);24,6404;24,8113;28,0567;23,764;23,4753;22,834;22,7098;23,2051;1,25126;0,0271766;2,26204;2,36277;+
Q10020(77);20,829;20,3455;17,8878;18,6832;20,8862;21,7265;20,6054;21,7422;1,27646;0,0258121;-1,80373;-2,40532;+
Q10020(57);20,4639;21,5532;21,3635;18,8138;22,4183;23,5562;22,4471;23,5808;1,87777;0,00691505;-2,45205;-3,47329;+
Q10020(107);24,1028;23,5255;21,8359;23,0616;24,153;24,5647;22,7561;24,128;0,580378;0,148027;-0,769023;-1,23557;
Q10020(108);23,5843;23,7531;22,3992;23,0616;24,153;22,743;22,7561;24,128;0,191443;0,499707;-0,245506;-0,487038;
Q10033(254);20,3795;19,4346;20,0077;18,4131;21,1915;21,4483;21,3528;21,2486;2,17337;0,00390374;-1,75153;-4,05231;+
Q10043(105);20,482;19,5233;18,8516;20,895;23,6207;25,1612;23,0959;22,7965;2,74929;0,00109468;-3,7306;-5,32821;+
Q10046(29);19,7188;19,9382;19,4028;20,2576;25,1906;23,6034;24,7227;23,1672;3,86486;0,0003861;-4,34164;-8,59349;+
Q10121(170);20,4546;18,7546;18,5496;18,9787;20,11;21,6499;20,7937;20,4679;1,55807;0,013217;-1,57101;-2,8908;+
Q10121(101);20,8267;19,8613;19,6067;21,0757;21,7385;21,5572;21,4254;21,8852;1,89813;0,00672302;-1,30898;-3,51182;+
Q10121(28);21,7492;22,4412;21,4592;24,9076;24,6447;23,6836;25,0163;24,7012;1,17971;0,0312126;-1,87215;-2,24257;+
Q10121(31);20,5542;18,9083;18,3945;20,6799;21,0974;19,7266;21,3048;21,3687;0,904033;0,0599;-1,24017;-1,78374;
Q10130(368);20,022;19,4274;21,6647;20,9357;21,6778;21,1002;19,5098;21,408;0,240957;0,421579;-0,411512;-0,594058;
Q10130(369);20,7917;21,6891;21,6196;17,3884;21,0214;20,6112;20,0386;21,5781;0,158586;0,564803;-0,440095;-0,412817;
Q10454(207);18,0317;20,2793;21,1104;20,1506;20,4679;21,177;21,3491;21,6962;0,922807;0,0571842;-1,27952;-1,81496;
Q10454(230);21,8609;19,8273;19,7229;20,0665;21,6744;21,0516;21,5141;20,8159;0,826982;0,0724223;-0,894605;-1,65531;
Q10454(224);19,4226;20,4165;17,7997;20,3234;21,6739;20,7674;21,4731;20,9648;1,44372;0,0174897;-1,72925;-2,69114;+
Q10454(368);26,2043;24,6483;23,9477;25,8478;28,0005;27,7453;26,3237;27,3986;1,86037;0,00709211;-2,20504;-3,44053;+
Q10454(334);20,1529;17,8073;18,7569;19,1232;21,8356;21,7717;21,3876;20,5017;2,24839;0,00341948;-2,41408;-4,20662;+
Q10454(136);18,3763;19,9098;19,4263;19,9141;19,4114;20,8034;20,6746;21,9228;1,07199;0,0412345;-1,29643;-2,06282;+
Q10454(296);19,4353;21,4814;20,3527;20,6249;21,347;21,2135;21,2534;21,2138;0,94611;0,0540551;-0,783376;-1,85368;
Q10454(158);18,8703;19,9384;18,8168;18,6709;20,8696;21,1825;19,5977;21,2217;1,85176;0,00718943;-1,64376;-3,42436;+
Q10454(71);19,7681;19,9292;19,3502;18,0719;21,972;21,6945;20,1362;21,1147;1,80395;0,00801991;-1,94947;-3,33517;+
Q10457(410);18,3216;20,4712;19,53;20,9764;21,7333;20,5132;21,2536;21,144;1,09592;0,0384486;-1,33626;-2,10265;+
Q10578(837);20,4824;20,2448;19,5945;20,2851;23,5489;23,447;22,895;23,3589;4,91677;0;-3,16079;-13,1169;+
Q10578(650);20,2459;20,3879;19,265;19,0166;23,7059;23,7554;23,4672;23,7841;4,52379;0;-3,94927;-11,2201;+
Q10578(999);20,3741;21,31;20,1154;21,5412;24,7521;23,9724;22,7459;24,7656;2,8081;0,00107357;-3,22387;-5,47158;+
Q10578(762);18,0994;17,6938;17,9345;19,2791;22,2376;21,1138;23,2306;22,8671;3,39161;0,000336364;-4,11057;-7,05498;+
Q10651(685);17,7458;19,5248;18,9248;18,9219;24,7173;23,6121;23,415;24,9424;4,25384;0;-5,39236;-10,0675;+
Q10655(49);20,082;21,38;19,8341;21,5717;20,8113;24,2367;23,101;24,6403;1,3706;0,0203093;-2,48039;-2,56539;+
Q10657(67);24,1007;26,0132;25,0216;25,7043;28,2037;29,1149;28,1895;28,7289;3,36932;0,000456376;-3,34928;-6,9886;+
Q10901(485);27,1903;26,5578;27,7211;26,4585;25,2441;25,9425;26,4599;25,4915;1,62362;0,011383;1,19744;3,00711;+
Q10943(142);19,7356;19,4227;19,4137;21,2046;21,1179;21,5503;20,8131;21,6659;1,53847;0,013958;-1,34264;-2,85629;+
Q11080(31);24,3149;24,2449;24,218;24,9205;24,9951;24,0019;23,707;25,3859;0,0818632;0,74532;-0,0978875;-0,226673;
Q11101(141);21,1977;20,2492;19,8259;17,106;20,4168;20,7658;21,056;20,5961;0,591031;0,143672;-1,11394;-1,25416;
Q11176(325);21,884;18,7645;19,3391;19,4615;25,6274;25,2491;24,2297;25,4774;3,35913;0,000446389;-5,28365;-6,95841;+
Q17334(277);21,3495;19,4091;18,8623;20,1267;21,8372;21,5182;21,0002;21,7502;1,50198;0,0151952;-1,58956;-2,79237;+
Q17334(316);22,3682;21,5991;22,1296;24,6283;21,7867;23,3336;22,6346;23,8513;0,100495;0,69699;-0,220273;-0,273795;
Q17334(90);20,3542;17,6985;21,156;18,0746;26,0621;26,3011;25,8968;27,1858;3,65142;0,000294118;-7,04066;-7,86785;+
Q17339(313);20,1671;21,4287;21,2317;20,7797;23,2915;22,2697;22,2302;21,8081;1,92036;0,00664209;-1,49811;-3,55408;+
Q17348(85);17,3806;19,1889;20,8773;20,2;21,8417;21,1592;21,1605;20,3946;1,10416;0,0375618;-1,72729;-2,11638;+
Q17361(345);24,6636;24,601;24,5327;23,9304;24,9383;23,5564;23,5212;24,9778;0,159039;0,564008;0,183525;0,41386;
Q17361(129);25,1529;24,2859;25,4392;20,7086;24,2654;25,129;21,4495;22,5637;0,152075;0,578707;0,544726;0,397763;
Q17361(461);24,9873;25,6637;25,1384;26,6926;21,6676;20,842;19,9554;20,1156;3,99197;0,000440529;4,97535;9,05262;+
Q17361(283);23,4284;23,9893;22,4125;24,5472;21,1163;20,2731;21,5264;21,5603;2,40607;0,00218256;2,47535;4,54178;+
Q17389(773);18,5038;17,8952;19,6524;19,2086;20,8058;20,3683;19,8033;21,5544;1,83727;0,00734402;-1,81797;-3,39722;+
Q17405(42);26,9155;26,8573;25,5422;26,1551;25,2854;24,9788;25,2658;25,2097;1,92213;0,00665231;1,18263;3,55747;+
Q17405(59);20,4551;21,0873;20,652;17,3094;22,7273;22,4475;22,1667;23,5729;1,68063;0,01002;-2,85267;-3,10948;+
Q17405(62);18,3992;20,215;20,8544;19,8642;22,1225;22,7822;23,0369;22,5569;2,62283;0,00123585;-2,7914;-5,02876;+
Q17405(8);25,9144;24,9009;26,3973;25,0328;25,1365;24,1352;24,539;24,4658;1,26994;0,026099;0,992225;2,3943;+
Q17405(39);27,1944;27,338;27,112;27,4506;26,6302;25,3348;25,7952;25,8672;2,56852;0,00150342;1,3669;4,90372;+
Q17410(258);24,8451;24,9169;25,9909;24,1222;20,3035;20,3853;20,9565;22,747;2,8747;0,000965318;3,87072;5,63725;+
Q17413(37);19,2583;17,9331;20,8763;18,9389;21,653;21,6273;21,2192;20,6702;1,69041;0,00988487;-2,04078;-3,12716;+
Q17430(84);23,6434;22,6599;22,8415;22,8901;19,8627;20,7325;19,9033;21,908;2,42072;0,00208462;2,40711;4,57372;+
Q17435(17);21,0686;18,749;20,6779;18,4658;21,4222;20,7672;21,444;21,1234;1,1124;0,0368316;-1,44889;-2,13012;+
Q17446(260);19,6759;21,0054;21,1139;19,7677;24,0026;24,8155;24,5174;24,5366;4,14786;0;-4,0773;-9,64514;+
Q17455(301);25,2243;24,5027;23,8625;25,9601;24,9232;23,5283;22,4477;23,4507;0,979028;0,0505913;1,29993;1,90835;
Q17489(247);21,2838;21,0052;20,8134;18,8504;20,8512;21,7666;21,1808;21,3537;0,654881;0,11904;-0,799916;-1,36449;
Q17542(583);28,6923;27,3321;26,4569;28,1551;28,6262;26,4375;27,5962;27,9533;0,0028945;0,991262;0,00581264;0,00867807;
Q17543(260);25,5296;26,0161;25,7794;25,6328;24,1193;25,9248;24,6379;24,879;1,12786;0,0358007;0,849249;2,15591;+
Q17561(129);19,3019;21,0881;19,9542;20,969;21,0102;21,4859;21,2528;21,3691;1,13643;0,035016;-0,951191;-2,17019;+
Q17569(299);25,4603;25,4088;25,3588;25,0873;24,7796;24,7158;24,0277;24,7002;2,12512;0,00433939;0,772957;3,95474;+
Q17569(136);24,3204;23,5499;22,1506;22,6528;24,841;23,8033;23,6755;24,2301;0,89485;0,0611533;-0,969016;-1,76847;
Q17569(218);20,9431;20,0236;21,3717;20,2268;26,5295;26,7531;24,7141;26,2802;4,16824;0;-5,42794;-9,72509;+
Q17569(130);24,8256;24,8452;25,6526;24,8812;24,0948;23,0404;23,7011;24,9816;1,28691;0,0253413;1,09669;2,42299;+
Q17569(203);24,5951;25,0989;24,8574;26,5858;25,4365;26,3677;25,0759;26,1862;0,390616;0,260801;-0,482278;-0,891875;
Q17571(277);20,1287;19,9121;20,591;20,6305;25,3165;25,0885;26,7052;26,3769;4,8644;0;-5,55623;-12,8478;+
Q17571(282);19,5858;19,5384;20,2825;21,511;21,4096;21,2616;21,0545;21,0742;1,08018;0,0402706;-0,970555;-2,07645;+
Q17606(61);21,8936;20,9889;21,0317;20,5705;21,8354;21,0757;21,19;20,6229;0,0564766;0,818255;-0,0598378;-0,160097;
Q17624(62);27,9825;26,7302;25,1304;24,8994;26,3975;25,8383;26,815;24,8267;0,0936915;0,714263;0,216265;0,256748;
Q17624(63);22,3674;22,3524;21,9361;23,726;27,4086;26,0895;25,8001;24,9617;2,787;0,0010563;-3,46947;-5,41984;+
Q17624(343);27,6927;27,0065;26,3126;24,0815;21,0173;21,5645;21,3069;21,0377;3,14678;0,000589091;5,04172;6,35282;+
