Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value eat2_d15_N2_d15;Student's T-test q-value  eat2_d15_N2_d15; Student's T-test Difference  eat2_d15_N2_d15;Student's T-test Test statistic  eat2_d15_N2_d15;Sign p-val: 0.05 
P34285(225);21,0648;21,1997;19,7073;21,7007;23,925;23,5573;23,5217;24,9187;2,90339;0,00310976;-3,06253;-5,70972;+
P34322(391);21,9385;20,5822;20,9766;20,6916;19,4584;20,2635;19,8117;17,1649;1,31927;0,0342322;1,87257;2,47787;+
P34328(93);20,9739;20,7746;20,1468;20,9228;18,8745;19,5335;19,2886;20,0844;2,13656;0,00805525;1,25929;3,97775;+
P34334(43);20,8298;19,7551;21,5508;21,0816;18,5996;19,361;19,9159;20,8829;0,924977;0,0833667;1,11449;1,81856;
P34334(35);20,8058;20,6738;21,0589;19,4145;19,3134;21,7565;19,1765;19,3584;0,350609;0,33867;0,587028;0,815285;
P34334(97);21,261;20,3503;19,9457;19,2157;21,6559;22,6568;20,8261;23,8951;1,40479;0,0293199;-2,0653;-2,62402;+
P34339(24);20,5889;21,2171;21,2162;21,5402;22,5369;25,4135;24,6286;23,8994;2,44756;0,00467774;-2,97901;-4,63256;+
P34339(647);22,0712;19,8138;19,9034;19,4596;20,5479;21,0794;18,2321;18,2122;0,356089;0,334273;0,7941;0,825886;
P34339(665);21,0865;21,4333;20,6127;20,5249;24,715;24,0742;25,528;22,4508;2,51319;0,00416185;-3,27765;-4,77846;+
P34345(22);20,5626;21,2917;21,4298;20,6304;23,7203;22,351;23,7787;23,6762;2,96229;0,00291909;-2,40292;-5,86064;+
P34360(157);23,9011;25,4812;24,9938;24,9634;23,3702;24,0754;22,4054;22,6316;1,83704;0,0134335;1,71425;3,3968;+
P34360(3);22,0873;21,4632;19,9556;19,7199;27,7547;27,5508;25,9884;27,3813;3,9968;0,00104433;-6,36233;-9,07048;+
P34360(12);20,5953;21,023;21,0157;21,4605;23,795;24,4599;23,517;25,0931;3,71843;0,00113074;-3,19266;-8,08978;+
P34360(14);21,564;20,3552;20,4672;20,5763;18,9905;19,8324;18,1836;19,1428;2,09203;0,0086215;1,70333;3,88853;+
P34364(3);21,6304;21,4978;20,9947;19,9384;26,5031;25,8882;25,2145;22,6018;2,29003;0,00568548;-4,03657;-4,29366;+
P34365(148);24,1179;24,6222;25,0094;24,6273;19,5034;19,9677;18,4266;20,0587;4,74444;0,00266667;5,10512;12,251;+
P34369(1418);20,0943;20,9274;21,737;20,4616;20,0209;18,8543;18,1753;19,7524;1,56725;0,0217784;1,60436;2,90699;+
P34382(172);24,0093;24,3054;25,9462;24,1197;19,3551;21,2798;21,288;19,968;3,09222;0,002614;4,12244;6,20409;+
P34382(54);27,9755;23,5744;23,9073;24,0565;20,6788;20,6047;19,7641;19,8756;2,32447;0,00542094;4,64763;4,36643;+
P34382(47);23,9113;26,0877;26,6718;27,197;18,6294;18,5899;18,2497;21,3081;3,26721;0,0022547;6,77266;6,69088;+
P34383(58);21,0499;21,1529;21,5477;19,8287;18,9267;20,0289;20,1088;19,5653;1,44353;0,0269449;1,23738;2,69081;+
P34383(90);23,5319;22,8416;22,3421;22,61;20,3162;21,2808;19,8187;20,0963;3,0249;0,00277551;2,45341;6,0243;+
P34383(54);20,5376;20,7814;21,6582;19,5459;20,1686;17,4513;18,8098;19,03;1,3317;0,0337077;1,76588;2,49901;+
P34383(68);23,7824;25,2668;25,1784;25,3839;22,0147;24,919;25,9272;24,5713;0,242146;0,461946;0,544827;0,596563;
P34383(47);23,4241;21,2688;23,2291;21,9747;21,137;18,8756;21,6885;18,161;1,33982;0,0334092;2,50865;2,51284;+
P34419(93);24,5843;22,6581;24,133;23,2547;20,1858;20,8514;18,3016;20,8114;2,56794;0,00377831;3,61995;4,90239;+
P34419(95);25,5565;24,5859;25,3215;23,476;19,253;21,4314;17,4994;19,9931;2,8231;0,00319769;5,19073;5,50859;+
P34453(79);24,0833;21,4867;20,8168;23,8075;21,0661;20,1042;20,3419;19,8581;1,36991;0,0310861;2,20603;2,56419;+
P34453(57);21,001;21,4672;21,0917;21,044;21,5457;21,2564;19,5063;20,3517;0,461613;0,252286;0,485918;1,02373;
P34466(1014);21,2575;20,0593;19,9239;20,9539;18,4656;18,6246;18,8692;20,243;1,54492;0,0225708;1,49804;2,86762;+
P34477(99);21,0732;20,0953;21,4549;21,1653;19,8165;21,3927;21,3094;20,1493;0,226108;0,483965;0,280213;0,562513;
P34477(9);24,9685;25,5723;24,5636;23,9881;19,806;19,518;21,1876;18,0687;3,40973;0,00232323;5,12802;7,1093;+
P34477(71);24,4114;25,4107;24,9448;24,6507;18,6768;19,0092;17,4848;20,6637;3,85019;0,00114523;5,89576;8,54184;+
P34496(110);19,9571;21,5188;21,2315;21,6897;19,5438;21,1157;19,1039;20,4659;0,877322;0,0927162;1,04195;1,73929;
P34500(38);20,7641;19,6956;20,8483;19,3792;25,3689;24,965;24,7933;26,0934;4,44913;0,0014902;-5,13333;-10,8898;+
P34501(1307);26,2556;25,5166;26,5088;25,1925;25,3817;25,6008;25,4916;25,5858;0,521178;0,217306;0,353403;1,13113;
P34501(1294);24,8459;23,7222;25,2838;24,7183;24,9354;25,5104;24,1112;25,523;0,345817;0,342829;-0,377465;-0,805983;
P34501(1286);26,3713;24,3318;23,973;23,6708;20,5333;19,0998;19,8475;20,2006;3,31608;0,00238411;4,66644;6,83208;+
P34544(1114);29,7555;30,4008;30,587;30,5346;30,8592;30,7502;29,6421;29,9194;0,0255303;0,921016;0,0267081;0,0746644;
P34552(577);24,2012;26,7782;26,0636;25,3559;25,0623;24,6643;24,4588;21,8294;0,876973;0,0927895;1,59602;1,73871;
P34556(148);22,0575;21,3503;20,2024;21,4806;23,7278;23,3289;21,6089;23,2564;1,50932;0,0242147;-1,70784;-2,80519;+
P34556(219);23,0457;24,8714;23,8812;24,2439;24,5109;23,7914;22,0775;25,8581;0,0189943;0,942251;-0,0489321;-0,055939;
P34556(114);21,791;21,5217;21,6989;20,8011;23,4838;24,8415;24,0813;25,4134;3,1145;0,00259817;-3,00181;-6,2645;+
P34560(18);20,2286;18,8794;21,0504;20,6288;20,6499;21,5953;19,1271;20,9738;0,221844;0,489939;-0,389771;-0,55337;
P34561(278);24,5398;25,6653;26,1243;26,0117;18,8807;17,1902;20,8203;19,0979;3,68467;0,0010596;6,58801;7,97731;+
P34574(841);20,0519;21,1981;20,7818;21,6276;19,4593;20,1248;19,0676;18,906;1,91073;0,0116807;1,52541;3,53573;+
P34575(339);21,6376;17,5236;21,7765;20,6929;19,5972;21,3324;20,1395;18,4326;0,178871;0,560344;0,532243;0,458969;
P34595(538);23,6176;25,3594;24,4311;25,8771;19,8156;16,5146;20,3461;20,5214;2,68896;0,00369713;5,52189;5,18388;+
P34595(681);21,4927;20,1861;20,7358;21,3032;21,1054;21,7306;21,6502;17,183;0,176972;0,562979;0,512184;0,454695;
P34595(662);28,6023;24,0042;22,9325;23,1349;23,3512;22,7589;21,6253;24,6246;0,48886;0,234822;1,57846;1,07318;
P34624(18);21,8866;21,1083;20,1474;20,2824;19,5617;19,8649;19,5658;20,3776;1,19433;0,0448922;1,0137;2,26707;+
P34629(349);21,3545;21,3152;21,0327;19,9219;20,9538;19,4431;21,035;19,9101;0,506306;0,22471;0,570564;1,10455;
P34629(326);20,5174;19,8947;19,9233;21,3471;19,2502;19,5628;20,313;20,5725;0,490627;0,234455;0,496005;1,07637;
P34647(700);22,9367;22,7566;24,4536;23,9201;21,4089;18,6046;17,5882;20,3707;2,26378;0,00606746;4,02366;4,23866;+
P34654(26);20,222;20,5503;21,0744;20,9431;20,1542;18,2732;20,0118;17,6777;1,36984;0,0310668;1,66819;2,56407;+
P34661(79);21,3817;21,1217;21,684;21,1701;20,5556;18,5296;20,6696;19,3167;1,60092;0,0200581;1,57147;2,96665;+
P34662(77);23,0251;23,9898;23,9411;23,3809;20,2488;21,1106;21,4632;19,9172;3,28857;0,00230769;2,89929;6,7523;+
P34662(79);24,1157;24,3912;24,2631;24,1408;20,7082;18,8656;19,3603;19,9004;4,54373;0,00176744;4,5191;11,3099;+
P34662(25);25,4614;24,5131;26,321;24,5234;18,6458;21,1732;20,7454;21,1445;3,17897;0,00250677;4,77754;6,44185;+
P34662(66);23,8373;19,8375;19,9322;22,273;19,2592;19,4649;18,3533;19,5294;1,21525;0,0427205;2,31831;2,30218;+
P34685(45);21,8892;21,336;20,8546;21,4118;19,8597;20,5958;20,998;20,4987;1,50222;0,0245393;0,884849;2,7928;+
P34686(92);21,7804;19,7735;21,2839;19,7105;20,2141;21,4074;18,929;20,3003;0,234576;0,47249;0,424402;0,580556;
P34692(59);21,9962;20,1855;20,9875;19,6165;21,0516;18,1734;18,7463;21,2362;0,422899;0,279229;0,894571;0,952418;
P34696(142);26,851;22,1439;23,4525;24,2202;27,1776;26,3897;25,6293;25,6206;0,988165;0,0717671;-2,03743;-1,92353;
P34697(118);21,4658;21,4061;20,9213;21,3574;20,7342;21,0911;19,6707;20,7032;1,17494;0,0464225;0,737842;2,23458;+
P34697(120);22,0557;19,9476;21,4032;21,1603;19,7208;21,4757;18,3648;20,3822;0,717602;0,133805;1,15581;1,47137;
P34712(538);21,4831;21,5218;20,3887;21,1464;19,7259;19,8766;19,3321;20,5315;1,89228;0,0121339;1,26847;3,50072;+
P34712(1311);21,1195;21,3955;21,4116;18,9078;21,1971;20,0193;19,8441;18,2975;0,462185;0,251955;0,869114;1,02478;
P34712(1315);19,6405;19,1808;20,1359;20,5786;19,5582;20,2939;17,905;20,1386;0,270918;0,423401;0,410048;0,656426;
P34712(727);21,1894;18,6069;21,6877;21,3407;19,4924;19,1156;19,4041;19,8214;0,870339;0,0940106;1,24781;1,72765;
P34712(535);19,916;21,5249;21,5416;19,5595;19,8175;21,295;20,5719;19,1583;0,247668;0,454741;0,424838;0,608172;
P34712(714);20,8775;21,0447;21,4146;21,0576;21,6669;22,6939;23,3976;21,2869;1,24446;0,0393143;-1,16271;-2,35132;+
P34712(30);21,0679;20,7654;20,9716;20,2349;22,7858;21,8149;22,8192;24,5525;2,01003;0,00996546;-2,23316;-3,72697;+
P34712(47);19,1494;19,9225;20,1536;21,4228;20,9126;20,792;19,7799;18,768;0,0504144;0,850411;0,0989265;0,143755;
P34712(26);25,4185;21,6874;21,8515;22,515;19,779;19,1983;19,2562;20,3681;1,9098;0,0117042;3,2177;3,53397;+
P34713(5);24,6288;25,7945;24,0803;24,4362;23,5549;23,9528;27,69;24,7923;0,0955016;0,737702;-0,262562;-0,261301;
P34713(16);21,4021;21,2943;20,9957;19,2595;19,9999;20,9724;19,9337;18,4284;0,586821;0,1846;0,904276;1,24682;
P35129(144);23,908;23,2629;22,9532;22,6362;24,5529;23,5509;22,1819;25,2119;0,426794;0,276772;-0,684319;-0,959654;
P35129(8);27,3931;25,96;26,5781;26,1882;24,2771;24,5961;26,0609;25,9686;1,23639;0,0399582;1,30416;2,33773;+
P35603(229);20,5701;20,3091;18,8271;20,7997;23,7976;22,9275;22,9657;24,6285;2,92106;0,00305882;-3,45333;-5,75469;+
P36573(7);23,7283;20,7986;22,2859;23,1549;23,3589;22,382;24,6139;23,8097;0,634279;0,163824;-1,04918;-1,32908;
P36609(189);20,9621;20,3533;20,1409;21,3282;21,131;19,459;17,3377;20,9365;0,485851;0,236108;0,980076;1,06775;
P36609(190);24,3839;24,9678;26,1185;26,3398;21,9391;21,4985;21,5627;22,6709;3,22337;0,00248387;3,53466;6,56623;+
P36609(140);21,2663;19,9956;20,7629;21,5219;20,2348;19,3374;19,1025;21,4876;0,634307;0,163868;0,846107;1,32913;
P36609(121);23,9238;26,3342;24,0242;23,404;20,9247;19,8051;19,4006;20,1766;3,00364;0,00273826;4,34475;5,96835;+
P37165(107);31,1743;29,201;28,6089;29,2861;27,9155;27,7465;23,3384;27,4161;1,28243;0,0370333;2,96347;2,41542;+
P37165(101);19,0126;19,3915;21,4036;21,586;19,9764;19,5562;20,4187;20,5795;0,113359;0,693989;0,215761;0,305556;
P37806(397);21,606;21,4143;20,9188;20,1343;19,9792;20,9135;20,127;19,9436;1,00167;0,0695449;0,777534;1,94595;
P37806(250);28,9518;23,2504;24,8773;23,0816;26,1266;26,8151;25,1863;25,8848;0,284841;0,40604;-0,962947;-0,684875;
P37806(392);19,7641;19,35;21,3555;21,7064;19,8609;21,2948;20,6796;21,4678;0,158005;0,598427;-0,2818;-0,411478;
P37806(531);21,7589;19,9346;21,1189;20,9837;19,985;20,6;19,8082;19,2494;1,16168;0,0476797;1,0384;2,2124;+
P37806(346);26,4885;19,2126;19,8407;20,1059;24,3546;23,7263;22,6809;26,4251;0,756676;0,121448;-2,88482;-1,53738;
P37806(351);20,2801;18,9392;20,4135;18,7611;21,8631;19,8332;20,5812;19,5112;0,588099;0,184145;-0,848717;-1,24905;
P37806(293);22,456;24,2595;22,9661;20,8813;19,6863;20,5932;21,0451;18,2308;1,58864;0,0207598;2,75189;2,94485;+
P37806(245);28,9927;27,3442;25,7185;26,587;26,2735;25,4792;25,0712;25,9653;1,01425;0,06775;1,46331;1,96684;
P37806(330);25,2075;23,2504;23,7948;23,6735;19,7427;20,1733;18,696;19,1791;3,8368;0,0011129;4,53375;8,49493;+
P37806(266);26,4831;24,7512;24,9678;23,5647;20,0356;17,8665;18,7376;18,9898;3,71403;0,00111498;6,0343;8,07506;+
P37806(525);25,7376;26,3302;26,3445;25,1074;24,7831;25,1766;24,1853;24,7422;1,7517;0,0156833;1,15812;3,23881;+
P39745(274);21,5852;21,1471;21,0238;19,0632;18,5404;19,6456;20,7132;18,9476;0,848711;0,0992849;1,24312;1,6916;
P41877(616);27,6531;30,068;26,7428;29,2315;19,058;19,7664;19,9055;19,4553;4,577;0,00194872;8,87756;11,4611;+
P41931(12);21,2928;19,7194;21,1549;20,9075;21,0327;18,8174;20,7539;21,2337;0,182564;0,554092;0,309215;0,467256;
P41932(148);23,6484;23,1494;22,9219;21,3132;21,8087;19,7605;19,011;20,7185;1,66768;0,0175369;2,43355;3,08612;+
P41932(13);20,1888;20,9611;20,3961;20,6765;24,6647;24,6231;26,2244;24,892;4,46543;0,00153535;-4,54542;-10,9612;+
P41932(160);26,0188;24,1266;23,9585;23,7429;25,0494;24,9048;25,5339;20,8037;0,119053;0,680583;0,388758;0,319424;
P41932(30);25,9863;25,0973;25,6745;24,6582;25,0067;24,7621;22,3789;25,8404;0,48807;0,234878;0,857062;1,07175;
P41932(124);28,2627;28,7194;28,9672;28,7657;27,5602;26,9028;27,3753;27,8433;2,64847;0,00365438;1,25838;5,08852;+
P41932(51);28,3586;25,3033;24,7429;26,8519;25,537;25,9362;25,4202;23,0954;0,59944;0,178648;1,31696;1,2688;
P41932(70);26,8548;27,7671;29,1331;27,7595;25,6597;24,9526;23,7962;25,8162;2,28933;0,00567976;2,82244;4,2922;+
P41932(29);21,8657;20,1292;21,7167;20,9969;20,0786;20,204;19,7827;18,6728;1,51958;0,0236112;1,4926;2,82315;+
P41937(336);22,1014;21,3038;21,3753;21,2078;19,8208;20,1398;19,1443;20,6975;2,16535;0,00746067;1,54642;4,036;+
P41988(190);22,3418;24,1105;22,4833;21,1416;19,4046;21,5196;19,7653;18,7259;1,69027;0,0171619;2,66544;3,12691;+
P42168(8);24,9887;22,4917;24,9364;22,5999;17,7307;20,8107;18,7167;19,8033;2,45557;0,00466219;4,48881;4,65022;+
P42168(224);24,4064;19,3757;20,5672;19,5375;25,1552;25,4175;23,7299;25,9631;1,74684;0,0157925;-4,09473;-3,2299;+
P42168(61);23,4024;19,5072;20,7685;21,9704;25,4445;25,5205;25,8487;26,1654;2,65547;0,00366837;-4,33266;-5,1049;+
P42168(301);23,0396;23,1126;23,1765;22,2222;21,2071;18,5365;17,7152;18,3475;2,56558;0,00376471;3,93616;4,89703;+
P42170(34);23,6872;25,894;26,2489;25,9412;22,1763;22,2794;23,9452;21,8943;2,05717;0,00932622;2,86904;3,81943;+
P42170(30);22,0808;19,2957;20,3584;19,7313;24,2106;22,256;24,6789;24,5286;2,28057;0,00579296;-3,55196;-4,27379;+
P42170(356);23,2026;21,9816;22,342;22,5031;19,5195;20,1479;18,8044;19,9375;3,51035;0,00160882;2,90498;7,41735;+
P46502(213);21,8197;21,396;20,7862;21,4677;26,1595;26,7479;26,1898;21,1753;1,50574;0,0244474;-3,70073;-2,79893;+
P46550(534);25,7426;25,7657;27,2248;27,3822;24,5681;25,2269;24,3626;24,39;2,07121;0,00904566;1,89193;3,84718;+
P46550(41);20,1392;20,7063;21,6216;19,4899;20,4913;18,2344;20,253;19,1613;0,665769;0,152617;0,954263;1,38314;
P46561(268);23,377;21,9655;21,8825;20,4635;20,5091;20,2542;19,1936;19,321;1,67043;0,0175018;2,10264;3,09108;+
P46561(62);23,4489;22,5448;23,7454;22,8565;19,2445;18,4745;19,0825;18,7945;4,9364;0,00234146;4,24989;13,219;+
P46562(120);27,3831;24,1921;24,1639;25,3283;25,3817;25,116;24,0739;22,5051;0,448339;0,260574;0,997715;0,999428;
P46563(315);18,9457;20,2631;20,0919;21,2704;19,4061;19,9506;18,8424;18,8232;0,807718;0,108591;0,887154;1,62308;
P46563(320);20,7541;20,8314;20,0965;21,0862;18,6765;19,1107;21,114;19,2383;1,03207;0,0653577;1,15721;1,99646;
P46563(103);21,984;26,4665;25,3649;22,9718;21,0144;20,2886;18,9892;19,4716;2,03077;0,00966316;4,25584;3,76751;+
P46563(46);23,2163;26,3732;26,1225;24,8924;22,0433;22,8708;21,8173;23,1636;1,83194;0,0133931;2,67737;3,38727;+
P46563(32);23,5679;23,2524;24,9652;23,2412;21,9945;19,9259;21,6082;18,7047;1,99087;0,0103904;3,19834;3,68968;+
P46563(133);21,2835;23,3141;24,8913;26,5118;28,8547;30,118;29,3587;29,5071;2,50633;0,00429954;-5,45949;-4,76308;+
P46563(300);20,5192;21,4916;21,4454;19,6023;19,3953;19,9884;19,1787;19,8893;1,24996;0,0391986;1,1517;2,36058;+
P46563(363);21,9689;20,7742;21,4257;20,0031;20,0764;20,4987;18,5119;19,2709;1,26022;0,0383441;1,45352;2,37789;+
P46769(17);21,2514;20,4467;21,5884;20,7895;18,769;20,1715;18,3872;20,8902;1,20871;0,0434644;1,46451;2,29119;+
P46822(531);21,2206;19,3783;21,2284;21,1703;20,3582;20,7134;21,2568;20,6094;0,0101597;0,968663;0,0149517;0,030212;
P46975(631);19,72;20,8584;20,8282;21,1551;18,8857;19,2259;20,6789;20,1607;0,874799;0,0932571;0,902625;1,73508;
P46975(438);23,6246;24,1787;24,6955;24,5442;21,172;19,653;19,1959;19,1209;3,8081;0,00106564;4,47528;8,39512;+
P47207(8);21,4257;20,9811;20,3497;19,0205;20,3514;19,0736;20,6127;18,9035;0,47108;0,246468;0,708995;1,04098;
P47207(516);23,673;20,5021;20,417;20,4508;24,1905;23,858;21,7759;24,4147;1,2042;0,0438713;-2,29902;-2,28361;+
P47991(63);21,0022;20,9724;21,0417;20,8073;21,3811;20,0543;19,5555;20,4206;0,763553;0,119424;0,60301;1,54896;
P47991(208);21,8237;21,343;22,394;21,5674;21,4237;21,404;14,2844;21,2908;0,57196;0,192452;2,18134;1,22084;
P47991(214);25,0171;24,6673;24,8623;25,2538;23,0227;22,5597;22,6688;23,5163;3,71523;0,00111888;2,00824;8,07907;+
P47991(156);21,5325;20,9509;21,1839;20,053;20,8277;19,3722;18,5561;19,6208;1,24937;0,0392014;1,33584;2,35958;+
P47991(135);23,167;21,6478;23,251;23,5458;18,8881;19,1753;19,0592;21,369;2,40143;0,00475884;3,28001;4,53171;+
P48150(107);20,4722;19,8905;20,6203;21,6989;20,6055;20,0875;17,5496;20,7928;0,495022;0,231044;0,911636;1,08429;
P48152(9);25,857;24,2863;24,7571;23,3086;23,5822;23,9978;23,1449;24,3863;0,62098;0,169786;0,774467;1,30613;
P48152(232);26,5099;22,4355;24,7479;25,3069;25,7871;26,1453;23,8798;27,3435;0,411225;0,287795;-1,03887;-0,930645;
P48152(233);26,5099;24,3015;23,198;26,0597;26,9454;26,1876;25,2419;25,4141;0,490132;0,234669;-0,929965;-1,07547;
P48152(77);21,7785;19,9654;21,6888;20,9527;23,3356;21,5434;20,8004;22,1424;0,595592;0,180303;-0,859076;-1,2621;
P48152(69);20,381;21,2259;20,823;20,1979;20,6711;18,8119;18,8577;19,7704;1,1969;0,0446514;1,12917;2,27138;+
P48152(110);21,4162;20,0172;20,4415;19,8139;20,1782;19,9617;19,7783;20,8035;0,23206;0,475674;0,241788;0,575209;
P48154(185);22,0206;18,7283;21,222;19,9073;22,1336;21,923;22,7;24,4289;1,34651;0,0329994;-2,32684;-2,52424;+
P48154(61);20,1845;20,6883;21,3271;19,8185;18,4023;19,1496;20,8699;19,7766;0,764248;0,119124;0,955;1,55013;
P48154(44);21,377;19,2838;19,3609;19,0504;23,9069;23,9555;21,1388;24,7734;2,06176;0,00924666;-3,67561;-3,8285;+
P48154(54);21,3673;21,5367;21,8305;21,3463;18,9918;19,0973;20,0102;21,1219;1,82812;0,0134597;1,71488;3,38014;+
P48156(140);21,0287;20,1379;20,9839;19,1715;19,8819;20,3431;20,1035;20,2037;0,170826;0,573741;0,197453;0,440796;
P48156(128);26,2123;24,1861;24,4146;24,3801;20,9864;20,1141;20,2359;20,2161;3,8565;0,00115;4,41012;8,56403;+
P48158(113);21,6085;19,1542;20,835;20,6615;19,9333;19,0214;17,4549;20,9566;0,649287;0,158455;1,22328;1,3549;
P48158(13);21,4986;20,8357;21,5566;19,6783;18,6561;21,6152;19,6093;19,828;0,603798;0,176686;0,965175;1,27637;
P49029(120);26,1838;23,6298;22,7606;23,1371;25,0146;24,6417;25,9068;23,362;0,373056;0,319815;-0,803456;-0,858484;
P49029(88);21,9236;20,1259;21,1896;20,7385;19,1771;19,9498;20,1638;20,7793;0,999826;0,0699589;0,976903;1,94289;
P49029(7);24,8719;23,0469;21,4821;22,3527;23,0174;25,0498;23,4224;25,7181;0,68221;0,146999;-1,36352;-1,41122;
P49029(47);24,9425;22,2076;21,8781;21,8911;19,1899;19,3313;19,4728;19,0291;2,45418;0,00465179;3,47404;4,64714;+
P49180(58);21,9735;19,0555;20,7309;19,7621;28,252;26,9322;22,827;25,097;2,16676;0,00747467;-5,39652;-4,03887;+
P49180(49);21,1729;20,6185;21,5429;20,9184;18,3631;20,9261;19,2977;17,5498;1,45034;0,0266504;2,02898;2,70259;+
P49181(25);21,2537;19,5663;20,2202;20,6736;19,944;20,9701;19,4761;19,7152;0,357608;0,333253;0,402126;0,828819;
P49196(139);26,9178;25,6088;23,6096;24,6881;24,4947;23,477;24,3075;21,5256;0,912204;0,0857986;1,75489;1,79733;
P49197(76);21,2327;20,7287;21,3106;21,0358;24,2348;24,4854;22,398;24,5177;2,78115;0,0032507;-2,83205;-5,40554;+
P49405(187);25,2205;25,3929;26,5283;26,0601;24,0751;22,702;22,4769;22,2579;2,91595;0,00304938;2,92248;5,74167;+
P49405(241);23,2447;24,6839;23,8695;22,8004;19,4459;17,5306;19,7938;19,2336;3,42943;0,00238961;4,64866;7,16879;+
P49405(58);20,8332;19,839;20,5412;20,8868;19,761;20,0664;21,1158;20,4239;0,190381;0,541641;0,18327;0,484682;
Q3HKC4(273);21,4157;19,1979;21,0924;20,9335;20,035;19,7374;18,5814;21,0557;0,52299;0,216316;0,807471;1,13436;
Q3HKC4(248);25,0623;21,059;22,3035;21,0267;23,205;23,2634;20,8529;24,2341;0,171488;0,57249;-0,525987;-0,442298;
Q3HKC4(259);23,9527;23,8019;22,1562;23,2776;19,9923;16,4079;19,1964;18,8232;2,76963;0,00327577;4,6921;5,37749;+
Q3HKC4(241);20,2926;20,5075;21,8037;19,9676;18,5075;21,6151;18,1367;17,841;0,842448;0,100495;1,61773;1,68114;
Q8MNS3(306);21,2825;20,3379;21,5597;21,4661;21,0402;21,1037;20,7942;20,6957;0,369846;0,32224;0,253091;0,852343;
P49596(11);20,3157;20,0199;20,3;21,1633;18,9007;18,6941;18,4834;19,8674;2,00678;0,0100483;1,46335;3,72063;+
P50140(360);20,4342;20,2591;19,8868;19,3827;20,9323;20,0017;20,3112;21,7407;0,844264;0,100086;-0,755745;-1,68417;
P50432(305);21,8012;19,6843;21,7382;20,2493;19,6009;20,465;21,226;21,6175;0,0726413;0,793197;0,140893;0,202822;
P50432(466);21,9697;21,2589;20,4283;21,1495;19,9014;19,3845;20,059;18,5906;2,02608;0,00971379;1,71772;3,75832;+
Q8I4H9(279);25,4323;25,3115;25,3233;24,885;21,7593;20,0063;19,2869;20,1857;4,03659;0,00109845;4,92848;9,21882;+
P50880(400);24,1826;24,0312;24,8952;22,7089;21,558;19,27;19,6272;18,163;2,65841;0,00367305;4,29995;5,11182;+
P50880(382);21,5179;20,6619;21,4148;19,603;21,5559;21,0894;17,7781;18,6487;0,454397;0,256742;1,03139;1,01054;
P50880(289);21,1518;21,5168;21,36;20,7414;20,0176;17,9842;20,6722;19,764;1,41675;0,028404;1,58299;2,64459;+
P50880(297);20,8304;20,7296;20,6321;20,3324;20,0223;19,2263;19,9294;21,2968;0,533759;0,210002;0,512425;1,1535;
P50880(353);20,6072;21,2449;20,4121;19,4978;19,045;20,4575;18,2978;18,6974;1,16687;0,0472558;1,31609;2,22107;+
P50880(283);24,9002;23,4968;22,7526;22,0025;24,6548;20,839;21,1135;25,2206;0,0923918;0,744159;0,331076;0,253471;
P50880(169);21,3476;21,4119;20,1159;20,4233;20,7796;21,4972;19,8443;20,2885;0,179897;0,55847;0,222303;0,461275;
P50880(370);18,4335;20,1703;21,3165;21,7202;19,6726;21,5995;21,5381;18,6678;0,0132943;0,958608;0,0406289;0,0393963;
P51403(259);25,291;24,0625;24,7556;23,4862;24,2287;22,8582;22,2355;24,7326;0,593852;0,181326;0,885078;1,25907;
P51403(62);26,4375;24,986;24,3867;25,4911;26,1357;26,475;25,8598;24,8524;0,398623;0,29803;-0,505426;-0,90699;
P51403(155);22,8031;26,1738;26,5598;26,43;22,8309;22,2615;21,9225;22,8177;1,77024;0,0149421;3,03354;3,27289;+
P51403(53);27,0773;27,5378;26,4009;26,5391;26,0115;25,6687;27,0267;26,7429;0,609821;0,174073;0,526317;1,28682;
P51403(234);20,0398;19,704;19,9548;20,6523;21,3701;19,5728;19,4735;18,4641;0,232965;0,474713;0,367608;0,577134;
P51403(110);25,2392;22,7417;24,4291;23,419;25,2567;24,6874;24,2484;25,7692;0,798825;0,110427;-1,0332;-1,60819;
P51403(253);21,3631;21,2185;20,6872;21,4512;22,3206;22,1323;23,8029;21,1346;1,04955;0,0624089;-1,16761;-2,0255;
P51404(39);21,4973;19,5637;21,6326;20,7926;20,6665;18,8115;18,4467;20,1237;0,985646;0,0722327;1,35942;1,91934;
P51404(27);21,1693;19,3364;20,784;19,1329;20,9587;20,9285;18,7513;21,4885;0,214283;0,501928;-0,426126;-0,537066;
P52011(96);28,1618;27,3396;27,495;27,3859;25,4829;23,869;24,0649;25,6704;2,8536;0,00326362;2,82377;5,58437;+
P52011(89);23,9651;22,7218;21,763;23,0744;24,5184;23,8152;25,0802;24,3412;1,60197;0,0200055;-1,55768;-2,96853;+
P52011(31);23,4117;26,1636;26,1522;25,8487;20,6736;19,2362;19,75;21,5137;3,05896;0,00270403;5,10069;6,11478;+
P52011(132);21,6134;20,8438;21,8149;21,0499;21,3845;21,2623;19,2448;20,2114;0,710421;0,135561;0,804762;1,4592;
P52011(147);21,8195;25,2083;26,3348;24,7468;20,1206;21,2231;20,5935;19,8687;2,17046;0,00748872;4,07588;4,0464;+
